y_true,clean,gray,n,CR,arm
91,0.9652173913043478,0.9217391304347826,230,0.04347826086956519,convnext_tiny_in1k
92,0.9461538461538461,0.9307692307692308,130,0.01538461538461533,convnext_tiny_in1k
93,0.9690140845070423,0.9647887323943662,710,0.004225352112676051,convnext_tiny_in1k
94,0.9592592592592593,0.8148148148148148,540,0.1444444444444445,convnext_tiny_in1k
95,0.8140845070422535,0.4169014084507042,355,0.3971830985915493,convnext_tiny_in1k
96,0.8608695652173913,0.6608695652173913,230,0.20000000000000007,convnext_tiny_in1k
97,0.9387096774193548,0.8032258064516129,310,0.13548387096774195,convnext_tiny_in1k
98,0.9488372093023256,0.827906976744186,215,0.12093023255813962,convnext_tiny_in1k
99,0.9793103448275862,0.1793103448275862,145,0.7999999999999999,convnext_tiny_in1k
100,0.9157894736842105,0.15789473684210525,190,0.7578947368421052,convnext_tiny_in1k
101,0.9928571428571429,0.4142857142857143,140,0.5785714285714285,convnext_tiny_in1k
0,0.96,0.24,100,0.72,vit_small_in1k
1,0.915,0.82,200,0.09500000000000008,vit_small_in1k
2,0.53,0.06,100,0.47000000000000003,vit_small_in1k
3,0.5277777777777778,0.3388888888888889,180,0.18888888888888888,vit_small_in1k
4,0.9111111111111111,0.035555555555555556,225,0.8755555555555555,vit_small_in1k
5,0.904,0.888,125,0.016000000000000014,vit_small_in1k
6,0.95,0.87,100,0.07999999999999996,vit_small_in1k
7,0.9938461538461538,0.3415384615384615,325,0.6523076923076923,vit_small_in1k
8,0.9230769230769231,0.07692307692307693,130,0.8461538461538463,vit_small_in1k
9,0.992,1.0,125,-0.008000000000000007,vit_small_in1k
10,0.6626865671641791,0.16119402985074627,335,0.5014925373134328,vit_small_in1k
11,0.9462686567164179,0.32238805970149254,335,0.6238805970149254,vit_small_in1k
12,0.993103448275862,0.8896551724137931,145,0.10344827586206895,vit_small_in1k
13,0.9857142857142858,0.6714285714285714,140,0.3142857142857144,vit_small_in1k
14,0.993103448275862,0.07586206896551724,145,0.9172413793103448,vit_small_in1k
15,0.8857142857142857,0.02857142857142857,105,0.8571428571428571,vit_small_in1k
16,0.9876923076923076,0.5138461538461538,325,0.4738461538461538,vit_small_in1k
17,0.8290322580645161,0.33225806451612905,310,0.49677419354838703,vit_small_in1k
18,0.8827586206896552,0.14482758620689656,145,0.7379310344827585,vit_small_in1k
19,0.9111111111111111,0.5833333333333334,180,0.3277777777777777,vit_small_in1k
20,0.95,0.05,100,0.8999999999999999,vit_small_in1k
21,0.9538461538461539,0.4256410256410256,195,0.5282051282051283,vit_small_in1k
22,0.847887323943662,0.6816901408450704,355,0.16619718309859155,vit_small_in1k
23,0.990909090909091,0.1,110,0.890909090909091,vit_small_in1k
24,0.9428571428571428,0.6571428571428571,105,0.2857142857142857,vit_small_in1k
25,0.780952380952381,0.047619047619047616,105,0.7333333333333334,vit_small_in1k
26,1.0,0.09,100,0.91,vit_small_in1k
27,0.9565217391304348,0.034782608695652174,230,0.9217391304347826,vit_small_in1k
28,0.9655172413793104,0.31724137931034485,290,0.6482758620689655,vit_small_in1k
29,0.8123076923076923,0.36615384615384616,325,0.4461538461538461,vit_small_in1k
30,0.81875,0.425,160,0.39375,vit_small_in1k
31,0.656,0.232,125,0.42400000000000004,vit_small_in1k
32,0.9230769230769231,0.5461538461538461,130,0.376923076923077,vit_small_in1k
33,0.86,0.43,100,0.43,vit_small_in1k
34,0.9739130434782609,0.8173913043478261,115,0.15652173913043477,vit_small_in1k
35,0.9127272727272727,0.68,275,0.23272727272727267,vit_small_in1k
36,0.9863636363636363,0.4818181818181818,440,0.5045454545454545,vit_small_in1k
37,0.9277777777777778,0.43333333333333335,180,0.49444444444444446,vit_small_in1k
38,0.819047619047619,0.06666666666666667,105,0.7523809523809524,vit_small_in1k
