y_true,clean,gray,n,CR,arm
197,0.84,0.5733333333333334,150,0.2666666666666666,resnet50
198,0.8466666666666667,0.74,150,0.10666666666666669,resnet50
199,0.94,0.04666666666666667,150,0.8933333333333333,resnet50
0,0.8066666666666666,0.66,150,0.1466666666666666,convnext_tiny_in1k
1,0.8066666666666666,0.78,150,0.026666666666666616,convnext_tiny_in1k
2,0.9857142857142858,0.9714285714285714,140,0.014285714285714346,convnext_tiny_in1k
3,0.9333333333333333,0.7466666666666667,150,0.18666666666666665,convnext_tiny_in1k
4,0.9,0.6857142857142857,70,0.2142857142857143,convnext_tiny_in1k
5,0.9272727272727272,0.9272727272727272,55,0.0,convnext_tiny_in1k
6,0.991304347826087,0.7130434782608696,115,0.27826086956521745,convnext_tiny_in1k
7,0.9777777777777777,0.6333333333333333,90,0.34444444444444444,convnext_tiny_in1k
8,0.5241379310344828,0.5103448275862069,145,0.01379310344827589,convnext_tiny_in1k
9,0.96,0.04,150,0.9199999999999999,convnext_tiny_in1k
10,0.6466666666666666,0.4666666666666667,150,0.17999999999999994,convnext_tiny_in1k
11,0.9846153846153847,0.0,130,0.9846153846153847,convnext_tiny_in1k
12,0.9133333333333333,0.8666666666666667,150,0.046666666666666634,convnext_tiny_in1k
13,0.96,0.0,150,0.96,convnext_tiny_in1k
14,0.9071428571428571,0.05714285714285714,140,0.85,convnext_tiny_in1k
15,0.9142857142857143,0.0,140,0.9142857142857143,convnext_tiny_in1k
16,0.9481481481481482,0.007407407407407408,135,0.9407407407407408,convnext_tiny_in1k
17,1.0,0.7333333333333333,75,0.2666666666666667,convnext_tiny_in1k
18,0.9241379310344827,0.3931034482758621,145,0.5310344827586206,convnext_tiny_in1k
19,0.9448275862068966,0.0,145,0.9448275862068966,convnext_tiny_in1k
20,0.98,0.44666666666666666,150,0.5333333333333333,convnext_tiny_in1k
21,0.6692307692307692,0.13846153846153847,130,0.5307692307692307,convnext_tiny_in1k
22,0.6482758620689655,0.4689655172413793,145,0.17931034482758618,convnext_tiny_in1k
23,0.9272727272727272,0.2909090909090909,110,0.6363636363636364,convnext_tiny_in1k
24,0.62,0.6466666666666666,150,-0.026666666666666616,convnext_tiny_in1k
25,0.9333333333333333,0.16,150,0.7733333333333333,convnext_tiny_in1k
26,0.4266666666666667,0.3933333333333333,150,0.03333333333333338,convnext_tiny_in1k
27,0.9448275862068966,0.9172413793103448,145,0.02758620689655178,convnext_tiny_in1k
28,0.5933333333333334,0.3933333333333333,150,0.20000000000000007,convnext_tiny_in1k
29,0.38,0.41333333333333333,150,-0.033333333333333326,convnext_tiny_in1k
30,0.8666666666666667,0.42,150,0.4466666666666667,convnext_tiny_in1k
31,0.7478260869565218,0.21739130434782608,115,0.5304347826086957,convnext_tiny_in1k
32,0.9103448275862069,0.6275862068965518,145,0.2827586206896552,convnext_tiny_in1k
33,0.9724137931034482,0.5379310344827586,145,0.43448275862068964,convnext_tiny_in1k
34,0.9666666666666667,0.04666666666666667,150,0.92,convnext_tiny_in1k
