dataset,model,seed,bin,n,acc,macro_f1,uar
cub200,resnet50_tv_sgd,3,high,1930,0.8269430051813471,0.7802192063539454,0.8050294203098689
cub200,resnet50_tv_sgd,4,overall,5794,0.8154987918536417,0.8158217800603685,0.817908604253353
cub200,resnet50_tv_sgd,4,low,1930,0.7927461139896373,0.7912011678545089,0.8139721107005443
cub200,resnet50_tv_sgd,4,mid,1934,0.8314374353671148,0.8181218183458168,0.8276783034217244
cub200,resnet50_tv_sgd,4,high,1930,0.822279792746114,0.7728323401120177,0.7993757737147017
cub200,resnet50_adamw_lr1e3,0,overall,5794,0.818605453917846,0.8179408844160261,0.8202111914705026
cub200,resnet50_adamw_lr1e3,0,low,1930,0.7854922279792746,0.7904448702635541,0.8095957874540264
cub200,resnet50_adamw_lr1e3,0,mid,1934,0.8407445708376422,0.8218651152695935,0.8270849315158526
cub200,resnet50_adamw_lr1e3,0,high,1930,0.8295336787564767,0.7766086067796951,0.8019836151121233
cub200,resnet50_adamw_lr1e3,1,overall,5794,0.8210217466344494,0.8210383218390129,0.8225628074686506
cub200,resnet50_adamw_lr1e3,1,low,1930,0.7937823834196891,0.7934421153093862,0.8168993696984805
cub200,resnet50_adamw_lr1e3,1,mid,1934,0.8329886246122027,0.816308140012275,0.8244244877929089
cub200,resnet50_adamw_lr1e3,1,high,1930,0.8362694300518134,0.7801606714404917,0.8031329300872071
cub200,resnet50_adamw_lr1e3,2,overall,5794,0.8191232309285468,0.8185682506517142,0.8210159836152695
cub200,resnet50_adamw_lr1e3,2,low,1930,0.7922279792746114,0.7953648037247109,0.8150461241429549
cub200,resnet50_adamw_lr1e3,2,mid,1934,0.827817993795243,0.8111181658219312,0.8212358431042642
cub200,resnet50_adamw_lr1e3,2,high,1930,0.8373056994818653,0.7816823056654272,0.808226595001441
cub200,resnet50_adamw_lr1e3,3,overall,5794,0.8184328615809459,0.8184296810593245,0.8202742470084458
cub200,resnet50_adamw_lr1e3,3,low,1930,0.794300518134715,0.7892231777732147,0.8122324472225173
cub200,resnet50_adamw_lr1e3,3,mid,1934,0.8262668045501551,0.8057410687844078,0.814448998004919
cub200,resnet50_adamw_lr1e3,3,high,1930,0.8347150259067357,0.7842306550500417,0.8067789535339174
cub200,resnet50_adamw_lr1e3,4,overall,5794,0.8165343458750431,0.8172435919171045,0.8183961630040499
cub200,resnet50_adamw_lr1e3,4,low,1930,0.7823834196891192,0.7850785232910148,0.8081208167214715
cub200,resnet50_adamw_lr1e3,4,mid,1934,0.8335056876938987,0.8163569147981505,0.8226996501305712
cub200,resnet50_adamw_lr1e3,4,high,1930,0.833678756476684,0.7779996657890115,0.8031966089695081
cub200,resnet50_sgd,0,overall,5794,0.7547462892647566,0.7544360076228742,0.7560565166850182
cub200,resnet50_sgd,0,low,1930,0.7300518134715026,0.713809056703587,0.7307380241445398
cub200,resnet50_sgd,0,mid,1934,0.7776628748707343,0.7598489984291565,0.7665117017485439
cub200,resnet50_sgd,0,high,1930,0.7564766839378239,0.7044057318974812,0.7329449787093998
cub200,resnet50_sgd,1,overall,5794,0.7509492578529513,0.7498621127064468,0.7529152661307438
cub200,resnet50_sgd,1,low,1930,0.727979274611399,0.7054517959129553,0.7289511160856101
cub200,resnet50_sgd,1,mid,1934,0.7683557394002068,0.7465171748305803,0.7587051680045102
cub200,resnet50_sgd,1,high,1930,0.7564766839378239,0.705801041351381,0.7369886686698205
cub200,resnet50_sgd,2,overall,5794,0.752847773558854,0.7523658286936659,0.7547576756245382
cub200,resnet50_sgd,2,low,1930,0.7367875647668394,0.7101037103910034,0.7329287662845205
cub200,resnet50_sgd,2,mid,1934,0.7673216132368149,0.7480545270957032,0.758418440842783
cub200,resnet50_sgd,2,high,1930,0.7544041450777202,0.7079638835884707,0.7318845397106933
cub200,resnet50_sgd,3,overall,5794,0.7483603727994477,0.747934523071204,0.7499900471593836
cub200,resnet50_sgd,3,low,1930,0.7259067357512954,0.7062941593436881,0.7281549047685427
cub200,resnet50_sgd,3,mid,1934,0.7683557394002068,0.7512986092888281,0.7589605540658172
cub200,resnet50_sgd,3,high,1930,0.7507772020725388,0.7050768339241015,0.7304270504263961
cub200,resnet50_sgd,4,overall,5794,0.755781843286158,0.7552155266946176,0.7578174560884259
cub200,resnet50_sgd,4,low,1930,0.7404145077720208,0.7100483914429071,0.7308850631634287
cub200,resnet50_sgd,4,mid,1934,0.7699069286452948,0.7500089922326751,0.7619812990372199
cub200,resnet50_sgd,4,high,1930,0.7569948186528498,0.7135441010774153,0.741318659029612
