dataset,model,seed,condition,kind,param,n,acc,macro_f1,uar
cub200,vit_small_in1k,1,shuffle_210,shuffle,"(2, 1, 0)",5794,0.2949603037625129,0.2900413322598087,0.302578608258104
cub200,vit_small_in1k,1,quant_2,quant,2,5794,0.0348636520538488,0.02521449596831,0.0348397999218838
cub200,vit_small_in1k,1,quant_4,quant,4,5794,0.5428028995512599,0.535037751191656,0.5453193202546948
cub200,vit_small_in1k,1,quant_8,quant,8,5794,0.7385226095961339,0.735553443679214,0.7400811793497424
cub200,vit_small_in1k,1,quant_16,quant,16,5794,0.7858129099068001,0.7842430684448164,0.7869979672497033
cub200,vit_small_in1k,2,clean,clean,0,5794,0.7963410424577149,0.7950949432412944,0.7979956546087099
cub200,vit_small_in1k,2,grayscale,grayscale,,5794,0.282878840179496,0.2519175469968989,0.2879329938088716
cub200,vit_small_in1k,2,hue_-0.500,hue,-0.5,5794,0.3230928546772523,0.3313873478334714,0.3303978091480459
cub200,vit_small_in1k,2,hue_-0.250,hue,-0.25,5794,0.2587159130134622,0.2484543698508744,0.2660364136062668
cub200,vit_small_in1k,2,hue_-0.083,hue,-0.083,5794,0.472903003106662,0.4665772117515749,0.4785630375868087
cub200,vit_small_in1k,2,hue_+0.083,hue,0.083,5794,0.5117362789092165,0.5070078217179684,0.5175094004253635
cub200,vit_small_in1k,2,hue_+0.250,hue,0.25,5794,0.2559544356230583,0.2582489327189858,0.2642827136281133
cub200,vit_small_in1k,2,hue_+0.500,hue,0.5,5794,0.3230928546772523,0.3313873478334714,0.3303978091480459
cub200,vit_small_in1k,2,shuffle_021,shuffle,"(0, 2, 1)",5794,0.3691750086296168,0.3607293956874515,0.3754723122610955
cub200,vit_small_in1k,2,shuffle_102,shuffle,"(1, 0, 2)",5794,0.4319986192613048,0.4200460432966589,0.4370702683153167
cub200,vit_small_in1k,2,shuffle_120,shuffle,"(1, 2, 0)",5794,0.2445633413876423,0.2336962885136355,0.2528870150660571
cub200,vit_small_in1k,2,shuffle_201,shuffle,"(2, 0, 1)",5794,0.247152226441146,0.2506908810422466,0.2543051284938762
cub200,vit_small_in1k,2,shuffle_210,shuffle,"(2, 1, 0)",5794,0.3111839834311357,0.3038174428049008,0.3201770169868884
cub200,vit_small_in1k,2,quant_2,quant,2,5794,0.0402140144977563,0.0244930075125617,0.0413203924025158
cub200,vit_small_in1k,2,quant_4,quant,4,5794,0.5212288574387297,0.507113669966345,0.5250678038918393
cub200,vit_small_in1k,2,quant_8,quant,8,5794,0.7345529858474283,0.7319777087272865,0.737162367010844
cub200,vit_small_in1k,2,quant_16,quant,16,5794,0.7861580945806006,0.7849843294677258,0.7884660344419282
cub200,vit_small_in1k,3,clean,clean,0,5794,0.7923714187090093,0.7899934796077289,0.7943367297552771
cub200,vit_small_in1k,3,grayscale,grayscale,,5794,0.3061788056610287,0.2682758058253853,0.3107249166806493
cub200,vit_small_in1k,3,hue_-0.500,hue,-0.5,5794,0.3432861580945806,0.3392537231389131,0.3498247829438943
cub200,vit_small_in1k,3,hue_-0.250,hue,-0.25,5794,0.2600966517086641,0.257525643233278,0.2666749670898057
cub200,vit_small_in1k,3,hue_-0.083,hue,-0.083,5794,0.5046599930963065,0.4976919747822231,0.5101483197430092
cub200,vit_small_in1k,3,hue_+0.083,hue,0.083,5794,0.5229547808077322,0.5144157128316187,0.5288884544180054
cub200,vit_small_in1k,3,hue_+0.250,hue,0.25,5794,0.2823610631687953,0.2744142109295948,0.2894934258009891
cub200,vit_small_in1k,3,hue_+0.500,hue,0.5,5794,0.3432861580945806,0.3392537231389131,0.3498247829438943
cub200,vit_small_in1k,3,shuffle_021,shuffle,"(0, 2, 1)",5794,0.3740075940628236,0.3671483220761671,0.3804715453380332
