dataset,id,backbone,arm,seed,y_true,clean,gray,n_img,CR
cub200,S1,ResNet-50,resnet50,1,36,0.5517241379310345,0.4482758620689655,29,0.10344827586206895
cub200,S1,ResNet-50,resnet50,1,37,0.6333333333333333,0.1,30,0.5333333333333333
cub200,S1,ResNet-50,resnet50,1,38,0.5862068965517241,0.20689655172413793,29,0.3793103448275862
cub200,S1,ResNet-50,resnet50,1,39,0.6,0.5,30,0.09999999999999998
cub200,S1,ResNet-50,resnet50,1,40,0.9333333333333333,0.7,30,0.2333333333333334
cub200,S1,ResNet-50,resnet50,1,41,0.9,0.0,30,0.9
cub200,S1,ResNet-50,resnet50,1,42,0.4482758620689655,0.1724137931034483,29,0.27586206896551724
cub200,S1,ResNet-50,resnet50,1,43,0.8333333333333334,0.7333333333333333,30,0.10000000000000009
cub200,S1,ResNet-50,resnet50,1,44,0.6666666666666666,0.7666666666666667,30,-0.10000000000000009
cub200,S1,ResNet-50,resnet50,1,45,0.9333333333333333,0.7,30,0.2333333333333334
cub200,S1,ResNet-50,resnet50,1,46,0.9,0.0,30,0.9
cub200,S1,ResNet-50,resnet50,1,47,0.9333333333333333,0.2,30,0.7333333333333334
cub200,S1,ResNet-50,resnet50,1,48,0.6666666666666666,0.36666666666666664,30,0.3
cub200,S1,ResNet-50,resnet50,1,49,0.6666666666666666,0.43333333333333335,30,0.23333333333333328
cub200,S1,ResNet-50,resnet50,1,50,0.9333333333333333,0.43333333333333335,30,0.5
cub200,S1,ResNet-50,resnet50,1,51,0.9,0.8,30,0.09999999999999998
cub200,S1,ResNet-50,resnet50,1,52,0.9666666666666667,0.9666666666666667,30,0.0
cub200,S1,ResNet-50,resnet50,1,53,0.7666666666666667,0.0,30,0.7666666666666667
cub200,S1,ResNet-50,resnet50,1,54,0.9666666666666667,0.03333333333333333,30,0.9333333333333333
cub200,S1,ResNet-50,resnet50,1,55,0.8666666666666667,0.1,30,0.7666666666666667
cub200,S1,ResNet-50,resnet50,1,56,0.9666666666666667,0.6666666666666666,30,0.30000000000000004
cub200,S1,ResNet-50,resnet50,1,57,0.6785714285714286,0.4642857142857143,28,0.2142857142857143
cub200,S1,ResNet-50,resnet50,1,58,0.23333333333333334,0.1,30,0.13333333333333333
cub200,S1,ResNet-50,resnet50,1,59,0.4827586206896552,0.5862068965517241,29,-0.1034482758620689
cub200,S1,ResNet-50,resnet50,1,60,0.9666666666666667,0.6333333333333333,30,0.33333333333333337
cub200,S1,ResNet-50,resnet50,1,61,0.5333333333333333,0.13333333333333333,30,0.4
cub200,S1,ResNet-50,resnet50,1,62,0.7666666666666667,0.7333333333333333,30,0.03333333333333344
cub200,S1,ResNet-50,resnet50,1,63,0.4,0.3,30,0.10000000000000003
cub200,S1,ResNet-50,resnet50,1,64,0.65,0.5,20,0.15000000000000002
cub200,S1,ResNet-50,resnet50,1,65,0.7333333333333333,0.7333333333333333,30,0.0
cub200,S1,ResNet-50,resnet50,1,66,0.6333333333333333,0.4,30,0.23333333333333328
cub200,S1,ResNet-50,resnet50,1,67,0.9,0.5333333333333333,30,0.3666666666666667
cub200,S1,ResNet-50,resnet50,1,68,0.7666666666666667,0.4666666666666667,30,0.30000000000000004
cub200,S1,ResNet-50,resnet50,1,69,1.0,0.0,30,1.0
cub200,S1,ResNet-50,resnet50,1,70,0.4666666666666667,0.36666666666666664,30,0.10000000000000003
cub200,S1,ResNet-50,resnet50,1,71,0.6,0.26666666666666666,30,0.3333333333333333
cub200,S1,ResNet-50,resnet50,1,72,0.9,0.36666666666666664,30,0.5333333333333334
cub200,S1,ResNet-50,resnet50,1,73,1.0,0.0,30,1.0
cub200,S1,ResNet-50,resnet50,1,74,0.9259259259259259,0.14814814814814814,27,0.7777777777777778
cub200,S1,ResNet-50,resnet50,1,75,0.9333333333333333,0.7333333333333333,30,0.20000000000000007
cub200,S1,ResNet-50,resnet50,1,76,0.9333333333333333,0.0,30,0.9333333333333333
cub200,S1,ResNet-50,resnet50,1,77,0.7931034482758621,0.4827586206896552,29,0.3103448275862069
cub200,S1,ResNet-50,resnet50,1,78,0.8333333333333334,0.4666666666666667,30,0.3666666666666667
cub200,S1,ResNet-50,resnet50,1,79,0.8,0.6666666666666666,30,0.13333333333333341
cub200,S1,ResNet-50,resnet50,1,80,0.9,0.8333333333333334,30,0.06666666666666665
cub200,S1,ResNet-50,resnet50,1,81,0.8333333333333334,0.3,30,0.5333333333333334
cub200,S1,ResNet-50,resnet50,1,82,0.9333333333333333,0.23333333333333334,30,0.7
cub200,S1,ResNet-50,resnet50,1,83,0.8260869565217391,0.43478260869565216,23,0.391304347826087
cub200,S1,ResNet-50,resnet50,1,84,0.9333333333333333,0.8333333333333334,30,0.09999999999999998
cub200,S1,ResNet-50,resnet50,1,85,0.8,0.9666666666666667,30,-0.16666666666666663
cub200,S1,ResNet-50,resnet50,1,86,0.8666666666666667,0.13333333333333333,30,0.7333333333333334
cub200,S1,ResNet-50,resnet50,1,87,0.9666666666666667,0.3,30,0.6666666666666667
