dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
cub200,S1,ResNet-50,resnet50,91,30,5,0.8933333333333333,0.027888667551135848,0.6599999999999999,0.07601169500660918,0.2333333333333334,0.08498365855987973
cub200,S1,ResNet-50,resnet50,92,30,5,1.0,0.0,0.7733333333333333,0.06411794687223785,0.22666666666666666,0.06411794687223785
cub200,S1,ResNet-50,resnet50,93,30,5,0.96,0.014907119849998594,0.6466666666666667,0.05577733510227169,0.31333333333333335,0.05055250296034366
cub200,S1,ResNet-50,resnet50,94,30,5,0.8400000000000001,0.027888667551135844,0.0,0.0,0.8400000000000001,0.027888667551135844
cub200,S1,ResNet-50,resnet50,95,30,5,0.72,0.03800584750330462,0.0,0.0,0.72,0.03800584750330462
cub200,S1,ResNet-50,resnet50,96,29,5,0.6965517241379311,0.044960016587604464,0.006896551724137931,0.015421158465515792,0.6896551724137931,0.04223258177212375
cub200,S1,ResNet-50,resnet50,97,30,5,0.9,0.02357022603955158,0.07333333333333333,0.054772255750516606,0.8266666666666668,0.059628479399994376
cub200,S1,ResNet-50,resnet50,98,30,5,0.8266666666666668,0.036514837167011066,0.5866666666666667,0.09603240193925287,0.24000000000000005,0.09249624617007737
cub200,S1,ResNet-50,resnet50,99,30,5,0.9933333333333334,0.014907119849998594,0.8733333333333334,0.027888667551135844,0.11999999999999997,0.018257418583505533
cub200,S1,ResNet-50,resnet50,100,20,5,0.97,0.02738612787525833,0.96,0.022360679774997918,0.010000000000000009,0.022360679774997918
cub200,S1,ResNet-50,resnet50,101,30,5,0.31999999999999995,0.06497862896539308,0.3333333333333333,0.062360956446232366,-0.013333333333333341,0.10165300454651269
cub200,S1,ResNet-50,resnet50,102,30,5,0.5866666666666667,0.08027729719194862,0.2866666666666667,0.08366600265340754,0.3,0.11785113019775792
cub200,S1,ResNet-50,resnet50,103,30,5,0.6533333333333333,0.03800584750330459,0.45999999999999996,0.0683130051063973,0.1933333333333333,0.05962847939999438
cub200,S1,ResNet-50,resnet50,104,19,5,0.7894736842105263,0.05263157894736842,0.9157894736842105,0.060009232899954634,-0.12631578947368421,0.07061267297367758
cub200,S1,ResNet-50,resnet50,105,30,5,0.9466666666666667,0.018257418583505533,0.9066666666666666,0.036514837167011066,0.039999999999999994,0.04346134936801765
cub200,S1,ResNet-50,resnet50,106,30,5,0.49333333333333335,0.04346134936801765,0.26666666666666666,0.02357022603955158,0.22666666666666666,0.03651483716701107
cub200,S1,ResNet-50,resnet50,107,30,5,0.7933333333333333,0.04346134936801765,0.8066666666666666,0.04944132324730445,-0.013333333333333308,0.02981423969999723
cub200,S1,ResNet-50,resnet50,108,30,5,0.9,0.02357022603955158,0.0,0.0,0.9,0.02357022603955158
