dataset,id,backbone,arm,y_true,n_img,n_seed,clean_mean,clean_sd,gray_mean,gray_sd,CR_mean,CR_sd
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,54,51,5,0.9333333333333332,0.029736766447260973,0.5529411764705883,0.17777297186891194,0.3803921568627451,0.1590533316915549
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,55,89,5,0.9910112359550561,0.009400674455439075,0.5146067415730337,0.23640940739116653,0.4764044943820225,0.2328039997730158
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,56,47,5,0.9787234042553191,0.0,0.9872340425531915,0.028545548648933477,-0.008510638297872375,0.028545548648933477
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,57,94,5,1.0,0.0,0.48723404255319147,0.2935090766733345,0.5127659574468085,0.2935090766733345
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,58,47,5,1.0,0.0,0.2765957446808511,0.27412976014308776,0.723404255319149,0.2741297601430878
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,59,89,5,1.0,0.0,0.8584269662921349,0.173449085554339,0.14157303370786517,0.173449085554339
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,60,30,5,1.0,0.0,0.42666666666666664,0.3459287017098562,0.5733333333333334,0.3459287017098562
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,61,35,5,0.9199999999999999,0.02390457218668788,0.23428571428571426,0.07395530917454163,0.6857142857142857,0.0699854212223765
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,62,34,5,1.0,0.0,0.7411764705882353,0.28922399456328285,0.25882352941176473,0.28922399456328285
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,63,32,5,1.0,0.0,0.95,0.07194290270763336,0.05,0.07194290270763337
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,64,82,5,0.9341463414634147,0.046116269271192764,0.4975609756097561,0.26429955244113257,0.4365853658536586,0.2734264917687235
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,65,41,5,1.0,0.0,0.9902439024390244,0.013359086768418698,0.009756097560975618,0.013359086768418698
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,66,22,5,0.8272727272727274,0.07468943965979537,0.7,0.10464422212019399,0.12727272727272726,0.08743356391668793
flowers102,S2,ConvNeXt-T,convnext_tiny_in1k,67,34,5,0.9352941176470588,0.013153341044116414,0.9294117647058823,0.05342912389583809,0.005882352941176472,0.0483284609563382
